date,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2020-01-03,0,0,0,0,0,100,0,0,0,0,0,0,0,0,-37,0,0,1,0,0,0,0,0,0,-81,0,0,1,0,0,100,0,100,0,0,0,0,0,60,0,0,0
2020-01-06,0,0,0,0,0,100,0,85,0,0,-100,100,0,68,0,63,0,100,58,0,0,82,0,100,0,20,0,2,0,0,0,0,0,55,-59,0,0,0,-54,-78,0,0
2020-01-07,100,0,0,0,0,-100,0,100,64,0,-52,-100,0,-6,-41,-26,0,0,0,0,0,-54,0,0,0,-21,0,1,0,0,100,0,1,-55,0,0,0,0,0,0,0,0
2020-01-08,3,0,0,0,100,0,0,100,0,-23,0,-24,100,-62,0,1,0,-100,0,0,0,100,0,-37,0,0,0,100,100,0,0,0,0,0,-45,0,0,0,1,0,100,100
2020-01-09,0,0,0,79,-37,0,0,0,-64,0,0,0,-40,2,0,0,0,-65,-58,0,100,5,0,0,0,0,0,0,-93,0,-42,0,-100,0,100,0,0,0,0,0,0,-51
2020-01-10,0,100,2,0,4,0,0,-46,0,0,0,0,-60,-2,0,0,0,0,0,0,-5,-100,0,-11,0,0,0,100,-6,0,-39,0,0,0,-96,0,0,0,0,0,0,100
2020-01-13,0,0,-2,-52,0,-33,0,-100,0,100,0,0,0,0,0,-38,0,-36,9,0,0,-33,0,0,0,0,0,-70,0,0,0,0,1,0,0,0,0,0,-7,0,100,-69
2020-01-14,-8,0,0,-27,0,-67,0,-33,0,-53,0,0,0,0,0,0,0,0,-9,0,-29,100,0,100,0,0,0,-27,0,0,0,0,0,0,-4,0,0,0,2,39,0,-80
2020-01-15,-95,0,21,0,0,0,0,-100,0,-12,0,0,0,0,0,0,0,0,0,100,-25,0,0,0,0,0,0,1,100,0,-23,0,0,0,0,0,0,0,0,0,-40,4
2020-01-16,0,-49,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-100,100,-32,0,64,0,-94,-25,0,1,0,100,0,0,0,0,100,-2,-39,0,-4
2020-01-17,0,-11,20,1,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-35,-44,0,-50,0,1,-75,0,100,0,-100,0,0,0,0,0,0,0,-100,100
2020-01-20,0,0,-41,0,-38,9,100,-6,0,-35,0,0,0,0,0,0,0,0,0,-100,-32,0,-19,0,0,100,0,-6,0,0,-33,14,-2,0,100,0,0,-67,0,0,-26,-80
2020-01-21,0,-40,0,-1,-30,100,-32,0,0,100,0,0,0,0,0,100,1,0,0,0,-9,0,-46,0,0,-2,9,-9,100,0,-85,-14,0,85,-13,0,0,75,0,0,-34,-20
2020-01-22,0,0,0,0,-42,-95,-68,0,0,0,0,0,0,0,0,0,1,0,0,-29,0,2,0,0,0,0,31,1,-9,100,0,0,0,-41,0,0,0,-100,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-1,0,0,0,0,-2,0,-76,0,0,79,-1,1,-73,-51,0,0,-1,-39,0,0,0,0,0,0,0
2020-01-24,0,0,0,100,0,-14,100,0,0,0,31,0,0,0,0,-100,0,0,0,-51,1,0,0,0,0,0,-100,0,-16,-27,2,0,0,-43,-48,0,0,-8,0,0,100,0
2020-01-27,0,0,0,0,0,0,-100,89,0,0,74,0,0,0,0,100,0,0,97,0,-1,100,0,0,0,0,-19,0,100,0,-30,0,0,0,0,0,0,100,0,0,0,0
2020-01-28,0,0,0,-12,0,0,0,100,100,83,-100,0,0,0,0,-100,0,0,-97,0,0,-76,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,-46,0,0,-100,0
2020-01-29,0,0,0,-88,32,0,0,-100,-67,-37,0,0,0,0,0,0,100,0,0,-25,0,-24,0,0,0,-81,0,0,1,0,0,0,0,0,0,0,0,100,0,100,0,0
2020-01-30,0,0,0,0,0,100,0,-77,0,-10,-5,1,0,0,2,0,-100,0,0,0,0,0,0,0,0,0,1,1,-22,0,0,9,0,0,0,100,0,-40,0,0,0,0
2020-01-31,0,100,0,0,-32,100,0,-12,49,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,-31,-1,100,-45,0,0,-9,0,0,0,-20,0,-100,100,0,0,0
2020-02-03,0,0,0,60,0,0,0,0,-82,-36,0,-2,0,0,-2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,100,0,0,0,0,-40,0,0,100
2020-02-04,0,-40,0,-41,0,3,74,0,0,0,0,100,0,0,0,100,0,100,-1,0,0,0,0,0,100,100,0,1,0,0,100,0,100,100,0,0,0,-14,0,-100,0,0
2020-02-05,0,0,18,0,0,-60,-7,0,0,0,0,-34,0,0,0,-100,0,0,0,0,1,0,0,0,100,0,0,0,-100,0,-85,0,-100,-100,12,-26,0,0,-60,0,0,0
2020-02-06,0,0,0,-19,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,-78,1,0,0,0,0,0,-9,-54,0,0,0,0,0,-58
2020-02-07,0,-4,0,40,0,-26,-40,0,0,0,0,-24,100,0,0,0,0,-76,0,-1,-5,0,0,0,0,0,0,37,0,0,-15,0,0,-100,0,0,0,0,0,0,0,-26
2020-02-10,0,-56,-18,-40,0,100,-70,90,0,0,0,-42,-85,0,0,0,0,100,100,0,100,89,0,79,-90,-31,0,-63,-24,0,0,0,94,55,1,0,93,0,100,0,0,100
2020-02-11,0,0,0,0,0,0,0,-90,0,0,0,0,100,0,0,0,0,-95,100,0,-100,-51,0,-79,-34,-4,56,0,100,0,0,0,0,-55,-4,0,-93,0,-85,0,0,100
2020-02-12,0,0,0,0,100,-72,-13,4,0,0,100,0,-59,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,100,0,0,0,-94,0,0,0,15,0,-15,0,0,0
2020-02-13,0,0,0,0,0,0,0,-4,60,0,-43,0,0,0,0,0,0,3,-7,0,0,0,0,0,-11,0,0,0,0,0,100,0,0,0,0,0,-15,0,0,0,0,-100
2020-02-14,0,0,0,0,100,0,0,100,-60,0,0,0,0,0,0,0,0,-19,0,0,100,0,0,0,-40,0,0,100,-5,0,-18,0,0,0,100,0,0,100,0,0,0,-95
2020-02-17,0,0,0,0,0,3,0,0,0,81,-48,0,0,0,0,0,0,-4,-94,0,-97,1,100,0,0,0,0,-31,100,0,-82,0,0,0,100,0,0,-100,0,0,0,-14
2020-02-18,0,0,0,0,0,0,0,-35,0,0,-9,0,100,0,0,0,0,-9,0,0,0,0,-66,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-7
2020-02-19,0,0,0,0,0,-52,0,-51,0,7,1,0,0,0,0,0,0,0,0,0,100,-39,-34,0,0,0,0,3,-25,0,100,0,0,0,-16,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,-100,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,89,0,0,0,0,-56,-72,-5,0,-58,21,0,0,-100,0,0,0,0,0,-45,0
2020-02-24,0,0,0,0,-25,0,0,0,0,-48,-1,5,73,0,0,0,100,0,0,0,100,100,75,0,0,94,0,67,100,0,-42,-20,75,100,-84,0,100,0,0,0,-4,100
2020-02-25,0,0,0,0,0,0,0,100,0,-40,0,-5,0,0,0,0,0,0,0,0,-16,-100,3,0,0,-94,0,0,-100,0,0,0,100,0,0,0,0,0,76,0,0,100
